"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Bysl","MGI:1858419","6","preweaning lethality, complete penetrance::enlarged heart::increased circulating alanine transaminase level::abnormal skin morphology::abnormal heart morphology::embryonic lethality prior to organogenesis"
"Abhd3","MGI:2147183","6","decreased heart left ventricle size::dilated heart left ventricle::decreased locomotor activity::decreased exploration in new environment::thin ventricular wall::decreased cardiac muscle contractility"
"Abhd4","MGI:1915938","1","decreased exploration in new environment"
"Abhd8","MGI:1918946","9","abnormal skin coloration::decreased circulating cholesterol level::decreased circulating chloride level::hyperactivity::decreased circulating calcium level::preweaning lethality, incomplete penetrance::increased total body fat amount::increased circulating potassium level::decreased body length"
"Mir141","MGI:2676826","1","preweaning lethality, complete penetrance"
"Abhd5","MGI:1914719","1","lipid deposition/Testes - MPATH process term"
"Mir143","MGI:2676828","1","preweaning lethality, complete penetrance"
"Mir146","MGI:2676831","2","increased circulating alkaline phosphatase level::increased circulating calcium level"
"Myrf","MGI:2684944","2","preweaning lethality, complete penetrance::increased cornea thickness"
"Serpinb12","MGI:1919119","2","short tibia::head bobbing"
"Tldc2","MGI:2686178","1","decreased circulating calcium level"
"Serpinb10","MGI:2138648","12","abnormal liver morphology::enlarged spleen::abnormal spleen morphology::abnormal kidney morphology::decreased circulating calcium level::decreased locomotor activity::increased spleen weight::abnormal lung morphology::enlarged lymph nodes::abnormal heart shape::abnormal heart morphology::abnormal lymph node morphology"
"Prl7b1","MGI:1922846","2","increased circulating alanine transaminase level::increased circulating aspartate transaminase level"
"Dach1","MGI:1277991","4","preweaning lethality, complete penetrance::increased circulating alanine transaminase level::increased circulating chloride level::increased startle reflex"
"Bdkrb1","MGI:88144","4","decreased neutrophil cell number::increased monocyte cell number::increased grip strength::increased large unstained cell number"
"Ppp1r14d","MGI:1919362","2","decreased red blood cell distribution width::dilated heart left ventricle"
"Ppp1r14a","MGI:1931139","6","increased fasting circulating glucose level::increased monocyte cell number::increased eosinophil cell number::increased lymphocyte cell number::abnormal auditory brainstem response::increased basophil cell number"
"Tmie","MGI:2159400","8","increased aggression::abnormal coat/hair pigmentation::abnormal vocalization::decreased prepulse inhibition::abnormal behavior::preweaning lethality, incomplete penetrance::head bobbing::abnormal startle reflex"
"Iqcb1","MGI:2443764","6","decreased thigmotaxis::decreased total body fat amount::increased heart left ventricle size::increased cornea thickness::thick ventricular wall::preweaning lethality, incomplete penetrance"
"Rgcc","MGI:1913464","5","enlarged epididymis::abnormal epididymis morphology::enlarged heart::abnormal pancreas morphology::abnormal heart morphology"
"Nucks1","MGI:1934811","4","decreased circulating cholesterol level::decreased circulating HDL cholesterol level::abnormal kidney morphology::preweaning lethality, incomplete penetrance"
"Serpinb3d","MGI:2683295","1","abnormal seminal vesicle morphology"
"Palb2","MGI:3040695","4","preweaning lethality, complete penetrance::increased circulating insulin level::decreased circulating free fatty acids level::embryonic lethality prior to tooth bud stage"
"Tepsin","MGI:1926027","1","increased grip strength"
"Cnot7","MGI:1298230","18","abnormal liver morphology::abnormal ovary morphology::abnormal kidney morphology::abnormal testis morphology::enlarged kidney::small testis::abnormal behavior::increased lean body mass::male infertility::increased red blood cell distribution width::decreased thigmotaxis::small ovary::enlarged heart::increased bone mineral content::decreased locomotor activity::decreased total body fat amount::decreased anxiety-related response::abnormal heart morphology"
"Fus","MGI:1353633","5","preweaning lethality, complete penetrance::hypoplasia/Heart - MPATH pathological process term::increased respiratory quotient::increased prepulse inhibition::abnormal embryo size"
"Cnot6","MGI:2144529","1","preweaning lethality, incomplete penetrance"
"Cnot4","MGI:1859026","9","preweaning lethality, complete penetrance::decreased KLRG1-positive NK cell number::decreased bone mineral content::abnormal epidermal immune compartment::decreased lean body mass::abnormal bone structure::decreased circulating alkaline phosphatase level::increased total body fat amount::decreased body length"
"2310061I04Rik","MGI:1916912","1","preweaning lethality, incomplete penetrance"
"Fuz","MGI:1917550","12","abnormal craniofacial morphology::preweaning lethality, complete penetrance::abnormal facial morphology::edema::abnormal limb morphology::syndactyly::anophthalmia::cleft palate::facial cleft::abnormal tail morphology::polydactyly::hemorrhage"
"Tada1","MGI:1196415","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Myd88","MGI:108005","1","inflammation/Lung - MPATH process term"
"Ppp1r15a","MGI:1927072","3","increased red blood cell distribution width::decreased mean corpuscular hemoglobin::increased circulating alanine transaminase level"
"Zc3h4","MGI:2682314","10","increased circulating serum albumin level::preweaning lethality, complete penetrance::enlarged epididymis::abnormal epididymis morphology::prenatal lethality prior to heart atrial septation::abnormal coat/hair pigmentation::abnormal eye morphology::cataract; lens extrusion/Eye - MPATH pathological entity term::increased circulating calcium level::embryonic lethality prior to organogenesis"
"Sigmar1","MGI:1195268","1","hyperactivity"
"Hibadh","MGI:1889802","6","abnormal skin coloration::abnormal eye anterior chamber depth::abnormal retina outer nuclear layer morphology::abnormal retina inner nuclear layer morphology::decreased total retina thickness::decreased fasting circulating glucose level"
"Ildr1","MGI:2146574","1","absent pinna reflex"
"Zc3h8","MGI:1930128","17","single kidney::preweaning lethality, complete penetrance::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::increased circulating total protein level::abnormal kidney morphology::enlarged kidney::decreased CD8-positive, naive alpha-beta T cell number::abnormal digit morphology::abnormal skin morphology::enlarged liver::lordosis::embryonic lethality prior to tooth bud stage::enlarged heart::embryonic lethality prior to organogenesis::abnormal heart morphology"
"Lepr","MGI:104993","53","limb grasping::increased circulating alkaline phosphatase level::increased circulating total protein level::increased circulating alanine transaminase level::trunk curl::increased circulating iron level::decreased heart weight::decreased exploration in new environment::decreased thigmotaxis::tremors::decreased locomotor activity::small seminal vesicle::hypertrophy/Skin - MPATH process term::increased monocyte cell number::increased circulating HDL cholesterol level::fatty infiltration/Skeletal muscle - MPATH process term::increased mean corpuscular hemoglobin::increased eosinophil cell number::abnormal bone structure::increased neutrophil cell number::lipid deposition/Liver - MPATH process term::increased hematocrit::abnormal locomotor behavior::increased circulating aspartate transaminase level::increased mean platelet volume::increased total body fat amount::increased circulating phosphate level::increased circulating serum albumin level::decreased bone mineral content::abnormal gait::thrombocytopenia::abnormal behavior::decreased lean body mass::increased circulating fructosamine level::increased circulating potassium level::increased circulating cholesterol level::decreased circulating chloride level::increased circulating triglyceride level::decreased spleen weight::increased mean corpuscular volume::decreased leukocyte cell number::increased hemoglobin content::decreased lymphocyte cell number::decreased bone mineral density::increased circulating calcium level::impaired righting response::increased circulating glucose level::male infertility::enlarged liver::increased red blood cell distribution width::female infertility::increased circulating amylase level::hypertrophy/Pancreas - MPATH process term"
"Slc35b4","MGI:1931249","11","preweaning lethality, complete penetrance::abnormal midbrain development::embryonic lethality prior to tooth bud stage::abnormal neural tube closure::embryonic growth retardation::hyperactivity::enlarged heart::abnormal forebrain development::abnormal hindbrain development::abnormal heart morphology::abnormal embryo size"
"Cdc5l","MGI:1918952","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Oard1","MGI:2146818","2","abnormal lens morphology::absent pinna reflex"
"Spg20","MGI:2139806","4","dilated aorta::increased fasting circulating glucose level::decreased exploration in new environment::preweaning lethality, incomplete penetrance"
"Eif5b","MGI:2441772","2","preweaning lethality, complete penetrance::decreased grip strength"
"Scgb1c1","MGI:2655401","1","decreased grip strength"
"1600029I14Rik","MGI:1917047","2","abnormal kidney morphology::small epididymis"
"Erc1","MGI:2151013","3","preweaning lethality, complete penetrance::abnormal eye anterior chamber depth::embryonic lethality prior to tooth bud stage"
"Ptbp2","MGI:1860489","4","abnormal tooth morphology::preweaning lethality, complete penetrance::decreased total retina thickness::abnormal vibrissa morphology"
"Krtap9-5","MGI:3650333","7","abnormal tooth morphology::abnormal thymus morphology::abnormal spleen morphology::abnormal kidney morphology::increased kidney weight::abnormal tooth color::enlarged thymus"
"Coasy","MGI:1918993","4","decreased lymphocyte cell number::increased neutrophil cell number::increased mean platelet volume::increased circulating potassium level"
"Cfap97d1","MGI:1922687","1","decreased prepulse inhibition"
"Eif4h","MGI:1341822","9","preweaning lethality, complete penetrance::abnormal retina outer nuclear layer morphology::embryonic growth retardation::abnormal retina inner nuclear layer morphology::decreased total retina thickness::thin ventricular wall::preweaning lethality, incomplete penetrance::abnormal embryo size::hemorrhage"
"Eif4b","MGI:95304","6","preweaning lethality, complete penetrance::edema::embryonic growth retardation::increased grip strength::abnormal auditory brainstem response::hemorrhage"
"Epha2","MGI:95278","2","enlarged lymph nodes::abnormal lymph node morphology"
"Eif4e","MGI:95305","1","preweaning lethality, complete penetrance"
"Epha3","MGI:99612","13","small liver::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::hyperactivity::decreased liver weight::abnormal kidney morphology::enlarged kidney::abnormal behavior::decreased thigmotaxis::small spleen::decreased anxiety-related response::decreased body length"
"Epha5","MGI:99654","4","dysplasia/Testis - MPATH pathological process term::extracellular matrix deposition/Bone marrow - MPATH pathological process term::decreased prepulse inhibition::spermatogenesis defect/Testis - MPATH pathological process term"
"Epha6","MGI:108034","7","enlarged liver::abnormal liver morphology::enlarged epididymis::abnormal spleen morphology::abnormal epididymis morphology::abnormal kidney morphology::abnormal skin morphology"
"Dipk1a","MGI:1914516","5","increased heart weight::increased circulating alkaline phosphatase level::increased circulating sodium level::decreased total body fat amount::increased lean body mass"
"Dipk1c","MGI:3041188","3","increased heart rate::increased vertical activity::shortened RR interval"
"Dtnbp1","MGI:2137586","14","increased circulating phosphate level::increased fasting circulating glucose level::abnormal iris pigmentation::abnormal coat/hair pigmentation::decreased lymphocyte cell number::impaired glucose tolerance::decreased exploration in new environment::increased neutrophil cell number::decreased grip strength::increased circulating glucose level::developmental dysplasia/Eye - MPATH pathological process term::abnormal uterus morphology::increased lymphocyte cell number::increased leukocyte cell number"
"Sh3gl2","MGI:700009","6","increased circulating alanine transaminase level::decreased bone mineral content::decreased exploration in new environment::decreased bone mineral density::decreased grip strength::increased circulating aspartate transaminase level"
"Fxn","MGI:1096879","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Eif3k","MGI:1921080","4","abnormal tooth morphology::preweaning lethality, complete penetrance::prolonged RR interval::increased circulating total protein level"
"Eif3f","MGI:1913335","2","preweaning lethality, complete penetrance::abnormal coat/hair pigmentation"
"Eif3h","MGI:1915385","1","preweaning lethality, complete penetrance"
"Cbln3","MGI:1889286","2","abnormal sleep behavior::abnormal auditory brainstem response"
"Ephb1","MGI:1096337","8","enlarged spleen::abnormal spleen morphology::enlarged heart::abnormal kidney morphology::enlarged kidney::small spleen::abnormal heart morphology::abnormal urinary bladder morphology"
"Ephb2","MGI:99611","2","increased exploration in new environment::small spleen"
"Fyb","MGI:1346327","4","cataract::thrombocytopenia::abnormal lens morphology::increased respiratory quotient"
"Ahcyl1","MGI:2385184","6","abnormal cornea morphology::increased circulating alkaline phosphatase level::increased bone mineral content::abnormal retina morphology::increased mean platelet volume::increased circulating thyroxine level"
"Dipk2b","MGI:1923155","6","hydrometra::increased freezing behavior::abnormal bone structure::abnormal skin morphology::enlarged lymph nodes::abnormal lymph node morphology"
"Slitrk5","MGI:2679448","3","enlarged lymph nodes::abnormal urinary bladder morphology::abnormal lymph node morphology"
"Slitrk4","MGI:2442509","1","increased circulating calcium level"
"Eif2s2","MGI:1914454","5","preweaning lethality, complete penetrance::abnormal spleen morphology::hyperactivity::persistence of hyaloid vascular system::embryonic lethality prior to organogenesis"
"Slitrk1","MGI:2679446","6","limb grasping::enlarged epididymis::abnormal epididymis morphology::improved glucose tolerance::abnormal testis morphology::small testis"
"Fyn","MGI:95602","1","preweaning lethality, complete penetrance"
"Eif2s1","MGI:95299","7","preweaning lethality, complete penetrance::enlarged spleen::abnormal spleen morphology::decreased prepulse inhibition::decreased startle reflex::abnormal skin morphology::embryonic lethality prior to organogenesis"
"Slitrk2","MGI:2679449","7","decreased thigmotaxis::increased heart weight::abnormal ovary morphology::enlarged uterus::increased exploration in new environment::abnormal uterus morphology::enlarged ovary"
"Cdc45","MGI:1338073","3","preweaning lethality, complete penetrance::shortened QT interval::narrow eye opening"
"Cdc42","MGI:106211","11","increased circulating cholesterol level::preweaning lethality, complete penetrance::decreased circulating serum albumin level::abnormal cranium morphology::increased circulating alkaline phosphatase level::embryonic lethality prior to tooth bud stage::increased circulating HDL cholesterol level::enlarged kidney::abnormal retina morphology::increased circulating aspartate transaminase level::embryonic lethality prior to organogenesis"
"Iqcf1","MGI:1921517","1","impaired glucose tolerance"
"H2az1","MGI:1888388","3","preweaning lethality, complete penetrance::increased startle reflex::embryonic lethality prior to organogenesis"
"Wasf2","MGI:1098641","3","preweaning lethality, complete penetrance::abnormal behavior::abnormal stomach morphology"
"Mroh4","MGI:1916689","1","abnormal coat appearance"
"Rbbp4","MGI:1194912","14","small liver::preweaning lethality, complete penetrance::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::abnormal eye morphology::increased body length::abnormal kidney morphology::enlarged kidney::abnormal bone structure::prenatal lethality prior to heart atrial septation::increased bone mineral content::embryonic lethality prior to organogenesis::abnormal gallbladder morphology"
"Eif2d","MGI:109342","4","enlarged spleen::abnormal spleen morphology::enlarged lymph nodes::abnormal lymph node morphology"
"Mroh9","MGI:1925508","1","male infertility"
"Spg11","MGI:2444989","7","decreased heart rate::increased startle reflex::decreased circulating calcium level::decreased exploration in new environment::increased total body fat amount::increased leukocyte cell number::decreased circulating total protein level"
"Eif2a","MGI:1098684","5","enlarged spleen::abnormal spleen morphology::increased exploration in new environment::abnormal skin morphology::increased mean platelet volume"
"Nlgn3","MGI:2444609","10","abnormal blood uric acid level::hyperactivity::abnormal eosinophil cell number::abnormal locomotor activation::decreased anxiety-related response::abnormal neutrophil cell number::abnormal hematocrit::abnormal hemoglobin content::increased bone mineral density::abnormal red blood cell distribution width"
"Prc1","MGI:1858961","6","preweaning lethality, complete penetrance::cataract::abnormal lens morphology::abnormal retina morphology::persistence of hyaloid vascular system::increased total body fat amount"
"Il1r2","MGI:96546","2","increased grip strength::abnormal auditory brainstem response"
"Trem1","MGI:1930005","1","increased anti-nuclear antigen antibody level"
"Jpt1","MGI:1096361","1","hyperactivity"
"Slc35f5","MGI:1921400","1","decreased circulating sodium level"
"Nhlrc2","MGI:1914116","1","preweaning lethality, complete penetrance"
"Eif1b","MGI:1916219","1","abnormal auditory brainstem response"
"Nhlrc3","MGI:2444520","2","enlarged heart::abnormal heart morphology"
"Cdc27","MGI:102685","3","decreased exploration in new environment::decreased lean body mass::increased total body fat amount"
"Cdc26","MGI:1913690","2","preweaning lethality, complete penetrance::increased cardiac muscle contractility"
"Preb","MGI:1355326","4","preweaning lethality, complete penetrance::decreased lean body mass::embryonic lethality prior to organogenesis::increased total body fat amount"
"Cdc23","MGI:1098815","4","preweaning lethality, complete penetrance::abnormal coat/hair pigmentation::abnormal vocalization::embryonic lethality prior to organogenesis"
"Ovol1","MGI:1330290","6","abnormal coat/hair pigmentation::thrombocytopenia::decreased hemoglobin content::decreased erythrocyte cell number::abnormal vibrissa morphology::decreased hematocrit"
"Herpud2","MGI:1915393","1","increased startle reflex"
"Cdc20","MGI:1859866","10","preweaning lethality, complete penetrance::increased heart weight::embryonic lethality prior to tooth bud stage::increased fasting circulating glucose level::increased grip strength::improved glucose tolerance::decreased circulating glucose level::increased circulating glucose level::embryonic lethality prior to organogenesis::abnormal sinus arrhythmia"
"Cdc40","MGI:1918963","1","preweaning lethality, complete penetrance"
"Pof1b","MGI:1916943","6","small liver::abnormal liver morphology::abnormal kidney morphology::small kidney::increased circulating calcium level::abnormal skin morphology"
"Vdac3","MGI:106922","3","abnormal coat appearance::abnormal liver morphology::prolonged QT interval"
"Vdac1","MGI:106919","3","increased startle reflex::impaired glucose tolerance::preweaning lethality, incomplete penetrance"
"Relch","MGI:1922832","8","increased mean corpuscular volume::hyperactivity::decreased mean corpuscular hemoglobin concentration::abnormal vocalization::decreased startle reflex::increased vertical activity::decreased exploration in new environment::abnormal auditory brainstem response"
"Mccc1","MGI:1919289","4","preweaning lethality, complete penetrance::abnormal retina outer nuclear layer morphology::decreased total retina thickness::abnormal embryo size"
"Mccc2","MGI:1925288","6","preweaning lethality, complete penetrance::decreased mean corpuscular hemoglobin::decreased mean corpuscular volume::increased erythrocyte cell number::decreased bone mineral density::increased prepulse inhibition"
"Mturn","MGI:1915485","4","increased bone mineral content::decreased total body fat amount::increased lean body mass::increased bone mineral density"
"Cdc37","MGI:109531","5","preweaning lethality, complete penetrance::increased circulating alkaline phosphatase level::hyperactivity::increased startle reflex::embryonic lethality prior to organogenesis"
"Slc22a8","MGI:1336187","1","increased circulating creatinine level"
"Cdc34","MGI:102657","4","increased fasting circulating glucose level::abnormal nail morphology::male infertility::preweaning lethality, incomplete penetrance"
"Nr6a1","MGI:1352459","22","preweaning lethality, complete penetrance::abnormal heart looping::abnormal neural tube closure::abnormal somite shape::abnormal embryo development::abnormal tail bud morphology::pale yolk sac::abnormal visceral yolk sac morphology::abnormal chorioallantoic fusion::abnormal optic vesicle formation::abnormal pharyngeal arch morphology::abnormal embryo size::abnormal midbrain development::embryonic lethality prior to tooth bud stage::embryonic growth retardation::abnormal allantois morphology::abnormal pericardium morphology::abnormal forebrain development::abnormal hindbrain development::abnormal neural tube morphology::abnormal embryo turning::abnormal heart morphology"
"Cpgi5563","MGI:5670665","17","decreased circulating LDL cholesterol level::decreased circulating cholesterol level::increased circulating magnesium level::decreased circulating HDL cholesterol level::increased body length::increased circulating chloride level::decreased circulating glucose level::increased lean body mass::preweaning lethality, incomplete penetrance::decreased circulating total protein level::decreased circulating free fatty acids level::decreased circulating glycerol level::decreased circulating triglyceride level::decreased total body fat amount::decreased circulating amylase level::decreased blood urea nitrogen level::decreased fasting circulating glucose level"
"Slc35d1","MGI:2140361","13","preweaning lethality, complete penetrance::edema::cleft palate::abnormal body wall morphology::abnormal tail morphology::protruding tongue::abnormal embryo size::abnormal coat appearance::abnormal eye anterior chamber depth::abnormal facial morphology::abnormal head shape::abnormal limb morphology::increased cornea thickness"
"Lratd2","MGI:3026924","4","increased B-2 B cell number::decreased eosinophil cell number::increased circulating total protein level::decreased respiratory quotient"
"Slc22a5","MGI:1329012","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Slc22a4","MGI:1353479","1","enlarged cecum"
"Slc22a3","MGI:1333817","6","decreased thigmotaxis::hyperactivity::abnormal eye morphology::anophthalmia::abnormal behavior::decreased anxiety-related response"
"Agfg2","MGI:2443267","1","decreased mean corpuscular hemoglobin"
"Trex1","MGI:1328317","1","hyperplasia/Lymph node - MPATH process term"
"Eri2","MGI:1918401","2","preweaning lethality, incomplete penetrance::shortened PR interval"
"Agtr1a","MGI:87964","13","enlarged spleen::abnormal spleen morphology::abnormal kidney morphology::abnormal platelet cell number::abnormal mean corpuscular hemoglobin::polycystic kidney::increased spleen weight::abnormal hemoglobin content::abnormal red blood cell distribution width::abnormal erythrocyte cell number::enlarged heart::abnormal hematocrit::abnormal heart morphology"
"Ubac2","MGI:1916139","2","decreased exploration in new environment::enlarged cecum"
"Ubac1","MGI:1920995","8","increased circulating serum albumin level::increased mean corpuscular hemoglobin concentration::increased hemoglobin content::decreased mean corpuscular volume::increased mean corpuscular hemoglobin::corneal vascularization::increased erythrocyte cell number::narrow eye opening"
"Knop1","MGI:1913606","3","increased circulating chloride level::tremors::increased spleen weight"
"Elavl4","MGI:107427","3","limb grasping::hyperactivity::abnormal gait"
"Cdan1","MGI:1916218","11","prenatal lethality prior to heart atrial septation::embryonic growth retardation::increased circulating alanine transaminase level::thrombocytopenia::enlarged heart::abnormal testis morphology::small testis::preweaning lethality, incomplete penetrance::abnormal heart morphology::embryonic lethality prior to organogenesis::abnormal embryo size"
"Elavl1","MGI:1100851","9","preweaning lethality, complete penetrance::embryonic growth retardation::decreased mean corpuscular hemoglobin::edema::increased circulating alanine transaminase level::abnormal limb morphology::anophthalmia::impaired pupillary reflex::abnormal embryo size"
"Slc35c2","MGI:2385166","3","decreased thigmotaxis::abnormal behavior::abnormal coat/ hair morphology"
"Nhlh2","MGI:97324","23","eye hemorrhage::abnormal ovary morphology::absent epididymis::decreased bone mineral content::abnormal testis morphology::absent ovary::abnormal seminal vesicle morphology::absent seminal vesicle::abnormal behavior::impaired glucose tolerance::increased spleen weight::decreased bone mineral density::decreased lean body mass::abnormal bone structure::absent testes::male infertility::decreased kidney weight::abnormal urinary bladder morphology::abnormal epididymis morphology::female infertility::abnormal uterus morphology::small uterus::increased total body fat amount"
"Dguok","MGI:1351602","9","increased grip strength::female infertility::increased bone mineral content::decreased locomotor activity::abnormal locomotor behavior::decreased exploration in new environment::decreased bone mineral density::decreased lean body mass::increased total body fat amount"
"Grin3b","MGI:2150393","5","increased red blood cell distribution width::abnormal gait::decreased circulating triglyceride level::increased circulating bilirubin level::increased circulating potassium level"
"Grin3a","MGI:1933206","1","abnormal epididymis morphology"
"Nhlh1","MGI:98481","4","decreased prepulse inhibition::increased anxiety-related response::preweaning lethality, incomplete penetrance::enlarged lymph nodes"
"Eaf1","MGI:1921677","3","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::tremors"
"Prg3","MGI:1858200","3","enlarged heart::abnormal skin morphology::abnormal heart morphology"
"Prg4","MGI:1891344","9","abnormal joint morphology::decreased body weight::improved glucose tolerance::increased anxiety-related response::decreased locomotor activity::decreased exploration in new environment::decreased grip strength::abnormal skin morphology::increased circulating potassium level"
"Pitpnm3","MGI:2685726","3","increased bone mineral content::abnormal bone structure::preweaning lethality, incomplete penetrance"
"Prep","MGI:1270863","6","decreased circulating free fatty acids level::preweaning lethality, complete penetrance::decreased thigmotaxis::embryonic lethality prior to tooth bud stage::increased circulating sodium level::increased circulating potassium level"
"Stag3","MGI:1355311","11","increased fasting circulating glucose level::decreased bone mineral content::female infertility::increased circulating HDL cholesterol level::small testis::decreased bone mineral density::abnormal bone structure::decreased lean body mass::decreased grip strength::male infertility::increased total body fat amount"
"Prg2","MGI:103294","3","abnormal coat appearance::abnormal eye posterior chamber depth::increased respiratory quotient"
"Stag1","MGI:1098658","17","preweaning lethality, complete penetrance::enlarged spleen::abnormal spleen morphology::edema::microphthalmia::abnormal kidney morphology::small kidney::enlarged lymph nodes::abnormal lymph node morphology::blind uterus::increased circulating triglyceride level::abnormal placenta morphology::embryonic growth retardation::enlarged seminal vesicle::small spleen::urinary bladder obstruction::abnormal placenta vasculature"
"Erfe","MGI:3606476","1","preweaning lethality, incomplete penetrance"
"Zrsr2","MGI:103287","7","small liver::abnormal liver morphology::female infertility::enlarged heart::decreased lymphocyte cell number::increased neutrophil cell number::abnormal heart morphology"
"Cblif","MGI:1202394","2","extramedullary hemopoiesis/Spleen - MPATH diagnostic term::hyperplasia/Spleen - MPATH process term"
"Cdc16","MGI:1917207","1","preweaning lethality, complete penetrance"
"Paf1","MGI:1923988","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Rgl3","MGI:1918996","3","abnormal gait::decreased circulating calcium level::decreased circulating alkaline phosphatase level"
"Rgl1","MGI:107484","34","histiocytic sarcoma/Lymph node - MPATH pathological entity term::preweaning lethality, complete penetrance::histiocytic sarcoma/Spleen - MPATH pathological entity term::enlarged spleen::microphthalmia::edema::hypoplasia/Liver - MPATH pathological process term::anophthalmia::enlarged lymph nodes::abnormal lymph node morphology::abnormal craniofacial morphology::embryonic growth retardation::abnormal limb morphology::increased startle reflex::abnormal hindbrain development::abnormal neural tube morphology::abnormal embryo turning::abnormal heart morphology::small liver::abnormal liver morphology::abnormal neural tube closure::abnormal spleen morphology::abnormal kidney morphology::syndactyly::decreased prepulse inhibition::enlarged kidney::cleft palate::increased neutrophil cell number::increased red blood cell distribution width::abnormal midbrain development::increased heart weight::abnormal placenta morphology::enlarged heart::decreased mean corpuscular volume"
"Grin2b","MGI:95821","4","enlarged heart::increased startle reflex::preweaning lethality, incomplete penetrance::increased mean platelet volume"
"Pla2g4b","MGI:2384819","4","small superior vagus ganglion::enlarged heart::hydrometra::abnormal heart morphology"
"Pla2g4e","MGI:1919144","3","abnormal coat appearance::increased grip strength::preweaning lethality, incomplete penetrance"
"Prmt9","MGI:2142651","5","increased mean corpuscular volume::increased grip strength::improved glucose tolerance::increased mean corpuscular hemoglobin::abnormal auditory brainstem response"
"Retreg3","MGI:1915248","9","increased circulating triglyceride level::increased circulating alkaline phosphatase level::decreased circulating glucose level::decreased prepulse inhibition::increased lean body mass::abnormal retina morphology::increased blood urea nitrogen level::increased circulating amylase level::increased circulating aspartate transaminase level"
"Prmt6","MGI:2139971","8","increased circulating creatinine level::decreased heart left ventricle size::increased circulating alanine transaminase level::increased eosinophil cell number::abnormal retina morphology::male infertility::increased circulating aspartate transaminase level::increased basophil cell number"
"Prmt1","MGI:107846","1","preweaning lethality, complete penetrance"
"Akap7","MGI:1859150","1","decreased bone mineral density"
"Pald1","MGI:1351623","5","abnormal eye morphology::impaired glucose tolerance::enhanced cued conditioning behavior::increased freezing behavior::increased prepulse inhibition"
"Mir204","MGI:2676879","1","cataract"
"Akap9","MGI:2178217","1","preweaning lethality, incomplete penetrance"
"Rapsn","MGI:99422","2","preweaning lethality, complete penetrance::increased circulating HDL cholesterol level"
"Retreg1","MGI:1913520","2","abnormal locomotor behavior::decreased exploration in new environment"
"1700123O20Rik","MGI:1920893","1","increased circulating iron level"
"Retreg2","MGI:2388278","5","enlarged spleen::abnormal spleen morphology::increased freezing behavior::abnormal heart morphology::increased leukocyte cell number"
"Mzb1","MGI:1917066","2","decreased circulating iron level::abnormal male genitalia morphology"
"Prpf4b","MGI:109584","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Gprc5b","MGI:1927596","3","abnormal liver morphology::enlarged epididymis::abnormal epididymis morphology"
"Zcwpw1","MGI:2685899","8","aspermia/Epididymis - MPATH pathological process term::germ cell defect/Testis - MPATH pathological entity term::abnormal pancreas morphology::small testis::aspermia/Testis - MPATH pathological process term::spermatogenesis defect/Testis - MPATH pathological process term::enlarged lymph nodes::male infertility"
"Gba","MGI:95665","3","preweaning lethality, complete penetrance::increased circulating amylase level::prolonged QRS complex duration"
"Tomm6","MGI:1913369","6","abnormal salivary gland morphology::enlarged heart::no spontaneous movement::enlarged lymph nodes::abnormal heart morphology::abnormal lymph node morphology"
"Atp5a1","MGI:88115","1","lipid deposition/Liver - MPATH process term"
"Aldob","MGI:87995","4","abnormal heart left ventricle morphology::decreased bone mineral density::preweaning lethality, incomplete penetrance::decreased body length"
"Aldoc","MGI:101863","5","hyperactivity::abnormal kidney morphology::decreased pulmonary ventilation::increased pulmonary respiratory rate::abnormal auditory brainstem response"
"Aldoa","MGI:87994","4","preweaning lethality, complete penetrance::decreased thigmotaxis::decreased leukocyte cell number::decreased total retina thickness"
"Clic5","MGI:1917912","6","limb grasping::decreased prepulse inhibition::decreased startle reflex::decreased bone mineral density::increased cornea thickness::head bobbing"
"Pak1","MGI:1339975","5","increased circulating triglyceride level::decreased bone mineral content::decreased prepulse inhibition::increased blood urea nitrogen level::increased total body fat amount"
"Strbp","MGI:104626","18","increased mean corpuscular volume::hyperactivity::decreased vertical activity::abnormal gait::trunk curl::decreased prepulse inhibition::abnormal behavior::abnormal bone structure::abnormal startle reflex::decreased circulating total protein level::decreased thigmotaxis::decreased food intake::decreased circulating amylase level::abnormal locomotor behavior::decreased startle reflex::decreased anxiety-related response::decreased respiratory quotient::increased mean platelet volume"
"Atrnl1","MGI:2147749","1","preweaning lethality, complete penetrance"
"Pak6","MGI:2679420","2","abnormal skin coloration::preweaning lethality, incomplete penetrance"
"Cep170b","MGI:2145043","2","decreased locomotor activity::impaired righting response"
